Year,AL,AR,CA,CT,DC,DE,FL,GA,IA,IL,IN,INDIAN_TERRITORY,KY,LA,MA,MD,ME,MI,MO,MS,NC,NH,NJ,NY,OH,PA,RI,SC,TN,TX,VA,VT,WI,North,South,Grand_Total
1748,,,,,,,,,,,,,,,,,,,,,,,2,1,,1,,,,,,,,4,0,4
1749,,,,1,,,,,,,,,,,,,,,,,,,2,,,2,,,,,1,,,5,1,6
1750,,,,2,,,,,,,,,,,,1,,,,,,,1,1,,,,,,,,,,4,1,5
1751,,,,1,,,,,,,,,,,2,,,,,,,,3,2,,,,,,,,,,8,0,8
1752,,,,,,,,,,,,,,,1,,,,,,,,2,2,,1,,,,,1,,,6,1,7
1753,,,,,,,,,,,,,,,2,1,,,,,,1,5,2,,4,,,,,,,,14,1,15
1754,,,,4,,,,,,,,,,,2,1,,,,,,,2,4,,3,,,,,,,,15,1,16
1755,,,,1,,,,,,,,,,,1,,,,,,,,3,4,,3,,,,,,,,12,0,12
1756,,,,3,,,,,,,,,,,2,,,,,,,,3,4,,,,,,,,,,12,0,12
1757,,,,4,,1,,,,,,,,,3,,,,,,,,6,6,,2,,,,,,,,21,1,22
1758,,,,3,,,,,,,,,,,1,,,,,,,,7,8,,1,,,,,,,,20,0,20
1759,,,,2,,,,,,,,,,,5,,,,,,,1,7,2,,2,,,,,2,,,19,2,21
1760,,,,5,,,,,,,,,,,2,3,,,,,,,2,,,5,,1,,,,,,14,4,18
1761,,,,1,,,,,,,,,,,3,1,,,,,,,6,2,,1,,1,,,1,,,13,3,16
1762,,,,2,,,,,,,,,,,1,1,,,,,,,11,3,,3,,,,,,,,20,1,21
1763,,,,2,,3,,,,,,,,,4,,,,,,,,4,2,,5,,,,,,,,17,3,20
1764,,,,,,1,,,,,,,,,,2,,,,,,,3,4,,1,,,,,1,,,8,4,12
1765,,,,5,,,,1,,,,,,,5,3,,,,,,1,11,1,,4,1,1,,,2,,,28,7,35
1766,,,,3,,,,,,,,,,,4,3,,,,,,,5,5,,6,1,,,,,,,24,3,27
1767,,,,2,,,,1,,,,,,,4,,,,,,,,4,1,,1,,,,,1,,,12,2,14
1768,,,,,,,,,,,,,,,5,1,,,,,,,,2,,3,,1,,,,,,10,2,12
1769,,,,,,,,,,,,,,,4,1,,,,,1,,5,3,,3,1,1,,,1,,,16,4,20
1770,,,,5,,,,,,,,,,,,,,,,,,,7,6,,3,,,,,1,,,21,1,22
1771,,,,,,,,,,,,,,,2,,,,,,,,2,1,,5,,,,,2,,,10,2,12
1772,,,,,,2,,,,,,,,,1,2,,,,,1,,5,1,,12,,,,,,,,19,5,24
1773,,,,1,,,,,,,,,,,,2,,,,,,,7,5,,15,,,,,1,,,28,3,31
1774,,,,1,,,,,,,,,,,4,2,,,,,1,,7,8,,2,,,,,1,,,22,4,26
1775,,,,,,2,,,,,,,,,1,3,,,,,2,,6,3,,11,1,1,,,5,,,22,13,35
